tahun,provinsi,kab_kota,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,jenis_lainnya,sampah_harian,sampah_tahunan,anorganik,organik
2022,Aceh,Kab. Aceh Selatan,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,9649.0,3521768.0,39.34,54.71
2022,Aceh,Kab. Aceh Tenggara,41.0,11.0,2.0,18.0,2.0,5.0,17.0,4.0,7.12,9132.0,3333297.0,48.0,52.0
2022,Aceh,Kab. Aceh Timur,37.0,14.0,5.0,26.0,5.0,3.0,2.0,4.0,4.0,17314.0,6319595.0,45.0,51.0
2022,Aceh,Kab. Aceh Barat,41.8,13.3,10.7,18.2,3.1,2.6,1.8,2.0,6.5,10143.0,3702159.0,38.4,55.099999999999994
2022,Aceh,Kab. Pidie,8.5,7.5,19.3,35.7,4.0,1.0,3.0,2.0,19.0,17780.0,6489773.0,65.0,16.0
2022,Aceh,Kab. Simeulue,5.18,13.05,11.93,35.73,16.88,6.65,5.55,2.03,3.0,4461.0,1628089.0,78.77,18.23
2022,Aceh,Kab. Aceh Singkil,30.0,10.0,15.0,22.0,2.0,5.0,3.0,2.0,11.0,5277.0,1926134.0,49.0,40.0
2022,Aceh,Kab. Aceh Barat Daya,32.5,11.0,20.0,12.0,11.0,1.5,3.0,4.0,5.0,7767.0,2834809.0,51.5,43.5
2022,Aceh,Kab. Gayo Lues,35.0,23.0,5.0,25.0,3.2,2.58,1.95,2.0,10.0,4106.0,1498602.0,39.730000000000004,58.0
2022,Aceh,Kab. Aceh Jaya,65.0,1.0,11.0,14.0,3.5,1.0,1.0,2.5,1.0,4721.0,1723129.0,33.0,66.0
2022,Aceh,Kab. Nagan Raya,38.0,14.0,11.0,20.0,1.0,1.0,2.0,1.0,12.0,6936.0,2531538.0,36.0,52.0
2022,Aceh,Kab. Aceh Tamiang,35.0,15.0,15.0,30.0,1.0,1.0,1.0,1.0,1.0,12072.0,4406280.0,49.0,50.0
2022,Aceh,Kab. Bener Meriah,21.0,25.0,19.0,18.0,3.0,3.0,3.0,3.0,5.0,6599.0,2408474.0,49.0,46.0
2022,Aceh,Kab. Pidie Jaya,19.0,26.3,13.0,26.0,2.5,3.5,3.7,3.5,2.5,7953.0,2902944.0,52.2,45.3
2022,Aceh,Kota Banda Aceh,32.4,20.6,3.0,4.8,4.6,6.8,13.2,4.75,9.85,25221.0,9205588.0,37.15,53.0
2022,Aceh,Kota Sabang,26.5,16.6,10.5,22.6,6.1,4.3,4.3,3.7,5.4,1728.0,630837.0,51.5,43.1
2022,Aceh,Kota Langsa,19.0,20.0,8.0,12.0,14.0,10.0,7.0,8.0,2.0,9444.0,3447024.0,59.0,39.0
2022,Aceh,Kota Subulussalam,28.0,15.0,10.0,18.0,2.0,7.0,8.0,2.0,10.0,3707.0,1352997.0,47.0,43.0
2022,Sumatera Utara,Kab. Tapanuli Tengah,54.6,0.01,11.39,13.15,0.37,3.28,0.84,1.59,14.77,18465.0,6739725.0,30.62,54.61
2022,Sumatera Utara,Kab. Nias,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,5828.0,2127235.0,39.34,54.71
2022,Sumatera Utara,Kab. Langkat,38.0,30.0,24.0,7.0,0.2,0.2,0.1,2.27,7.12,52144.0,19032378.0,33.77,68.0
2022,Sumatera Utara,Kab. Deli Serdang,20.5,24.0,13.8,20.2,6.0,5.0,3.0,2.0,5.5,112661.0,41121101.0,50.0,44.5
2022,Sumatera Utara,Kab. Simalungun,5.5,1.93,15.44,20.46,0.37,7.7,4.5,8.6,35.5,51081.0,18644474.0,57.07,7.43
2022,Sumatera Utara,Kab. Asahan,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,47278.0,17256499.0,39.34,54.71
2022,Sumatera Utara,Kab. Toba,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,9605.0,3505900.0,39.34,54.71
2022,Sumatera Utara,Kab. Humbang Hasundutan,12.0,55.0,10.0,13.0,3.0,1.0,0.2,0.8,5.0,5933.0,2165373.0,28.0,67.0
2022,Sumatera Utara,Kota Medan,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,172260.0,62874922.0,39.34,54.71
2022,Sumatera Utara,Kota Pematang Siantar,45.0,6.0,12.0,10.0,5.0,3.0,4.0,4.0,11.0,24143.0,8812144.0,38.0,51.0
2022,Sumatera Utara,Kota Tebing Tinggi,62.7,1.73,11.43,16.65,0.73,2.6,0.71,1.83,1.62,12463.0,4548820.0,33.949999999999996,64.43
2022,Sumatera Utara,Kota Padangsidimpuan,49.93,7.58,13.56,12.71,0.38,3.29,1.13,2.17,9.25,16182.0,5906598.0,33.24,57.51
2022,Sumatera Barat,Kab. Pesisir Selatan,20.4,19.6,23.0,19.0,16.0,0.42,1.58,2.27,7.12,15289.0,5580317.0,62.27,40.0
2022,Sumatera Barat,Kab. Solok,29.0,20.0,12.0,22.0,2.0,2.0,2.0,2.0,9.0,15769.0,5755860.0,42.0,49.0
2022,Sumatera Barat,Kab. Sijunjung,20.8,38.12,16.48,20.0,3.9,0.4,0.3,2.27,7.12,9730.0,3551389.0,43.35,58.92
2022,Sumatera Barat,Kab. Tanah Datar,69.34,14.21,8.63,6.0,2.24,1.57,1.95,3.33,8.89,12892.0,4705729.0,23.72,83.55000000000001
2022,Sumatera Barat,Kab. Padang Pariaman,31.82,14.21,12.78,43.77,0.21,0.78,2.07,0.54,8.03,21806.0,7959354.0,60.150000000000006,46.03
2022,Sumatera Barat,Kab. Agam,70.0,4.02,6.0,8.0,2.0,0.28,0.1,0.6,9.0,21368.0,7799364.0,16.980000000000004,74.02
2022,Sumatera Barat,Kab. Lima Puluh Kota,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,15330.0,5595479.0,39.34,54.71
2022,Sumatera Barat,Kab. Pasaman,66.28,2.1,11.41,11.25,2.93,1.41,1.36,1.86,1.4,12124.0,4425304.0,30.22,68.38
2022,Sumatera Barat,Kab. Dharmasraya,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,10365.0,3783110.0,39.34,54.71
2022,Sumatera Barat,Kab. Solok Selatan,34.25,0.78,16.35,25.69,0.13,0.59,0.55,2.41,19.25,7394.0,2698868.0,45.72000000000001,35.03
2022,Sumatera Barat,Kab. Pasaman Barat,40.0,10.0,15.0,20.0,5.0,2.58,1.95,5.0,5.0,17500.0,6387675.0,49.53,50.0
2022,Sumatera Barat,Kota Padang,62.8,6.84,5.7,12.4,0.19,3.3,1.5,2.4,4.87,64376.0,23497313.0,25.490000000000002,69.64
2022,Sumatera Barat,Kota Solok,45.7,10.02,11.1,23.2,0.84,0.6,0.21,1.1,7.23,5427.0,1981019.0,37.050000000000004,55.72
2022,Sumatera Barat,Kota Sawahlunto,46.0,10.0,11.0,14.0,3.0,5.0,4.0,5.0,2.0,1886.0,688256.0,42.0,56.0
2022,Sumatera Barat,Kota Padang Panjang,43.15,23.56,14.35,12.67,1.5,0.95,0.8,1.19,1.83,4895.0,1786514.0,31.46,66.71
2022,Sumatera Barat,Kota Bukittinggi,61.12,1.14,16.5,18.72,0.46,0.89,1.95,0.5,0.67,12523.0,4570754.0,39.02,62.26
2022,Sumatera Barat,Kota Payakumbuh,51.62,7.43,11.42,21.54,0.65,1.56,0.57,0.87,4.34,10030.0,3660881.0,36.61,59.05
2022,Sumatera Barat,Kota Pariaman,54.18,10.95,14.56,13.77,1.66,0.91,0.65,1.61,1.71,3826.0,1396344.0,33.16,65.13
2022,Riau,Kab. Indragiri Hulu,20.0,10.0,10.0,20.0,5.0,5.0,5.0,5.0,20.0,18130.0,6617319.0,50.0,30.0
2022,Riau,Kab. Bengkalis,72.9,3.62,2.89,5.02,0.52,0.96,0.91,1.98,10.66,26188.0,9558550.0,12.280000000000001,76.52000000000001
2022,Riau,Kab. Rokan Hulu,30.5,6.0,8.8,20.2,0.7,3.9,1.2,1.3,27.4,36333.0,13261376.0,36.1,36.5
2022,Riau,Kab. Rokan Hilir,14.0,22.0,15.0,32.0,3.0,4.0,2.0,2.0,6.0,33310.0,12158059.0,58.0,36.0
2022,Riau,Kab. Siak,39.0,15.0,10.0,26.0,1.0,2.0,2.0,3.0,2.0,18667.0,6813572.0,44.0,54.0
2022,Riau,Kab. Kuantan Singingi,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,13918.0,5080055.0,39.34,54.71
2022,Riau,Kota Pekanbaru,59.0,3.0,12.0,10.0,2.0,1.0,1.0,1.0,11.0,97672.0,35650331.0,27.0,62.0
2022,Riau,Kota Dumai,48.97,7.5,5.3,8.95,2.27,3.72,2.5,2.79,18.0,16592.0,6055934.0,25.529999999999998,56.47
2022,Jambi,Kab. Merangin,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,20213.0,7377836.0,39.34,54.71
2022,Jambi,Kab. Sarolangun,61.2,1.79,11.2,23.39,0.07,0.7,0.14,0.26,1.25,11744.0,4286560.0,35.760000000000005,62.99
2022,Jambi,Kab. Bungo,60.5,4.1,14.1,5.9,1.8,1.5,5.15,1.0,5.95,15851.0,5785703.0,29.450000000000003,64.6
2022,Jambi,Kota Jambi,16.11,23.84,7.38,44.07,0.89,0.57,1.23,0.3,5.61,43750.0,15968801.0,54.44,39.95
2022,Jambi,Kota Sungai Penuh,24.0,14.21,18.0,20.0,15.0,9.0,11.0,2.27,3.0,5012.0,1829544.0,75.27,38.21
2022,Sumatera Selatan,Kab. Ogan Komering Ulu,35.0,25.0,10.0,15.0,7.0,3.0,2.0,3.0,7.12,15221.0,5555650.0,40.0,60.0
2022,Sumatera Selatan,Kab. Muara Enim,61.02,8.07,7.38,17.18,1.14,1.33,0.36,0.31,3.21,43236.0,15781187.0,27.7,69.09
2022,Sumatera Selatan,Kab. Lahat,60.0,10.1,2.0,14.0,1.74,5.5,0.26,0.9,5.5,26961.0,9840685.0,24.4,70.1
2022,Sumatera Selatan,Kab. Musi Rawas,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,25550.0,9325927.0,39.34,54.71
2022,Sumatera Selatan,Kab. Musi Banyuasin,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,25793.0,9414547.0,39.34,54.71
2022,Sumatera Selatan,Kab. Banyuasin,39.15,8.53,16.0,13.28,0.98,1.57,1.99,1.4,17.1,57873.0,21123590.0,35.22,47.68
2022,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,12.0,9.0,22.0,27.0,3.0,5.0,3.0,2.0,17.0,28214.0,10298168.0,62.0,21.0
2022,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,60.3,5.6,10.28,17.2,4.55,0.55,0.15,0.42,0.95,10224.0,3731632.0,33.14999999999999,65.89999999999999
2022,Sumatera Selatan,Kota Palembang,53.0,5.5,14.0,17.0,1.5,3.0,4.0,1.0,1.0,120497.0,43981566.0,40.5,58.5
2022,Sumatera Selatan,Kota Prabumulih,50.56,9.8,6.02,26.6,1.84,1.8,0.6,1.8,0.98,9841.0,3591819.0,38.660000000000004,60.36
2022,Bengkulu,Kab. Bengkulu Utara,31.6,37.5,7.4,6.3,5.1,0.8,2.9,2.5,5.9,18961.0,6920772.0,24.999999999999996,69.1
2022,Bengkulu,Kab. Seluma,59.0,7.0,9.0,9.0,10.0,1.0,1.0,1.0,3.0,10525.0,3841716.0,31.0,66.0
2022,Bengkulu,Kab. Lebong,64.45,8.57,8.56,12.86,0.2,0.89,1.6,0.07,2.8,8057.0,2940984.0,24.180000000000003,73.02000000000001
2022,Lampung,Kab. Lampung Tengah,41.0,1.0,2.0,24.0,1.0,19.0,8.0,3.0,1.0,44322.0,16177475.0,57.0,42.0
2022,Lampung,Kab. Tanggamus,31.0,24.37,13.22,21.0,0.44,0.65,0.14,1.72,7.36,36562.0,13345235.0,37.169999999999995,55.370000000000005
2022,Lampung,Kab. Way Kanan,61.0,19.0,4.0,8.0,4.0,1.0,2.0,1.0,7.12,19202.0,7008613.0,20.0,80.0
2022,Lampung,Kab. Pringsewu,50.0,15.0,5.0,20.0,1.0,0.25,0.25,0.25,8.25,16273.0,5939616.0,26.75,65.0
2022,Lampung,Kab. Tulang Bawang Barat,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,11449.0,4178768.0,39.34,54.71
2022,Lampung,Kota Bandar Lampung,40.4,12.9,11.7,17.4,3.1,2.5,1.8,2.3,7.9,78646.0,28705755.0,38.79999999999999,53.3
2022,Lampung,Kota Metro,56.47,6.24,9.4,24.07,0.56,1.25,0.27,0.88,0.86,10445.0,3812571.0,36.43000000000001,62.71
2022,Kepulauan Bangka Belitung,Kab. Bangka,39.85,13.96,12.07,16.97,3.37,2.69,1.98,2.31,6.8,13374.0,4881422.0,39.38999999999999,53.81
2022,Kepulauan Bangka Belitung,Kab. Belitung,1.0,28.0,2.0,63.0,0.01,1.0,2.54,2.4,0.05,7360.0,2686458.0,70.95000000000002,29.0
2022,Kepulauan Bangka Belitung,Kab. Bangka Tengah,41.9,8.5,3.8,14.3,3.9,4.9,1.95,5.5,17.2,8236.0,3006111.0,34.349999999999994,50.4
2022,Kepulauan Bangka Belitung,Kab. Belitung Timur,57.0,14.21,5.0,17.0,2.0,2.0,2.0,1.0,14.0,5092.0,1858522.0,29.0,71.21000000000001
2022,Kepulauan Riau,Kab. Bintan,41.0,5.8,24.0,16.4,1.0,1.5,3.2,2.5,4.6,5592.0,2040989.0,48.6,46.8
2022,Kepulauan Riau,Kab. Karimun,23.0,19.0,24.0,24.5,4.0,2.5,1.5,1.2,0.3,18632.0,6800822.0,57.7,42.0
2022,Kepulauan Riau,Kab. Natuna,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,3418.0,1247512.0,39.34,54.71
2022,Kepulauan Riau,Kab. Lingga,41.2,13.6,18.3,10.2,1.8,8.9,3.9,1.9,0.2,2843.0,1037655.0,45.0,54.800000000000004
2022,Kepulauan Riau,Kab. Kepulauan Anambas,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,1320.0,481800.0,39.34,54.71
2022,Kepulauan Riau,Kota Batam,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,113277.0,41346160.0,39.34,54.71
2022,Kepulauan Riau,Kota Tanjung Pinang,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,15591.0,5690536.0,39.34,54.71
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,25.5,31.59,12.17,19.18,1.27,0.74,0.44,2.03,7.08,1789.0,653108.0,35.830000000000005,57.09
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,85005.0,31026853.0,39.34,54.71
2022,DKI Jakarta,Kota Adm. Jakarta Utara,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,136844.0,49948075.0,39.34,54.71
2022,DKI Jakarta,Kota Adm. Jakarta Barat,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,202342.0,73854777.0,39.34,54.71
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,195425.0,71330085.0,39.34,54.71
2022,DKI Jakarta,Kota Adm. Jakarta Timur,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,231302.0,84425243.0,39.34,54.71
2022,Jawa Barat,Kab. Bandung,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,128316.0,46835194.0,39.34,54.71
2022,Jawa Barat,Kab. Garut,59.3,14.21,6.3,20.5,1.0,2.6,1.95,3.4,6.9,111225.0,40596955.0,35.75,73.50999999999999
2022,Jawa Barat,Kab. Ciamis,38.0,0.4,16.0,20.0,10.0,4.0,1.0,10.2,0.4,57468.0,20975849.0,61.2,38.4
2022,Jawa Barat,Kab. Kuningan,40.0,17.0,10.0,16.0,4.0,3.0,2.0,2.0,6.0,59940.0,21878210.0,37.0,57.0
2022,Jawa Barat,Kab. Sumedang,20.0,15.0,5.0,40.0,3.0,3.0,2.0,2.0,10.0,44272.0,16159202.0,55.0,35.0
2022,Jawa Barat,Kab. Indramayu,27.0,6.4,25.0,35.8,1.0,1.8,0.8,0.7,1.5,111365.0,40648107.0,65.1,33.4
2022,Jawa Barat,Kab. Karawang,64.0,1.0,9.0,14.0,2.0,1.0,1.95,1.0,8.0,100394.0,36643649.0,28.95,65.0
2022,Jawa Barat,Kab. Bekasi,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,225035.0,82137910.0,39.34,54.71
2022,Jawa Barat,Kota Bogor,40.0,14.0,20.0,15.0,1.0,2.5,0.5,1.0,6.0,74446.0,27172757.0,40.0,54.0
2022,Jawa Barat,Kota Sukabumi,39.98,13.98,13.98,17.03,3.3,2.75,2.0,2.3,4.68,18035.0,6582841.0,41.36,53.959999999999994
2022,Jawa Barat,Kota Bandung,44.52,3.98,13.12,16.7,0.9,4.75,2.38,1.97,11.68,159418.0,58187652.0,39.82,48.5
2022,Jawa Barat,Kota Bekasi,65.2,7.2,4.2,15.6,0.2,6.3,0.5,0.5,0.3,183063.0,66817900.0,27.3,72.4
2022,Jawa Barat,Kota Cimahi,40.5,50.6,8.6,15.6,3.1,5.3,1.95,3.0,13.8,27546.0,10054232.0,37.550000000000004,91.1
2022,Jawa Barat,Kota Tasikmalaya,48.7,14.21,5.8,5.4,0.2,1.9,1.95,6.3,31.6,31911.0,11647595.0,21.549999999999997,62.910000000000004
2022,Jawa Barat,Kota Banjar,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,8567.0,3126780.0,39.34,54.71
2022,Jawa Tengah,Kab. Cilacap,57.67,1.71,9.71,16.42,1.33,1.25,1.95,1.17,10.74,95084.0,34705578.0,31.83,59.38
2022,Jawa Tengah,Kab. Banyumas,36.0,6.0,6.0,30.0,9.0,5.0,3.0,5.0,7.12,53689.0,19596449.0,58.0,42.0
2022,Jawa Tengah,Kab. Purbalingga,60.47,2.09,8.95,18.49,0.68,2.34,5.14,0.87,0.97,50992.0,18612080.0,36.46999999999999,62.56
2022,Jawa Tengah,Kab. Kebumen,30.0,36.8,7.0,12.0,7.0,4.0,2.0,1.0,0.2,46305.0,16901340.0,33.0,66.8
2022,Jawa Tengah,Kab. Purworejo,16.0,52.0,2.0,15.0,1.0,1.5,0.2,1.5,10.0,28957.0,10569422.0,21.2,68.0
2022,Jawa Tengah,Kab. Wonosobo,68.93,1.5,12.57,10.11,3.5,0.6,0.31,1.14,1.34,36625.0,13368256.0,28.23,70.43
2022,Jawa Tengah,Kab. Boyolali,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,29255.0,10678129.0,39.34,54.71
2022,Jawa Tengah,Kab. Klaten,67.42,3.82,10.46,15.05,0.1,0.42,0.08,0.65,2.0,64302.0,23470344.0,26.76,71.24
2022,Jawa Tengah,Kab. Sukoharjo,60.8,1.88,9.81,17.03,1.98,2.28,1.82,1.27,3.13,36192.0,13210109.0,34.190000000000005,62.68
2022,Jawa Tengah,Kab. Wonogiri,25.0,10.0,20.0,25.0,5.0,5.0,2.5,5.0,2.5,34772.0,12691785.0,62.5,35.0
2022,Jawa Tengah,Kab. Karanganyar,63.0,2.0,5.0,20.0,1.0,2.0,2.0,3.0,2.0,37552.0,13706597.0,33.0,65.0
2022,Jawa Tengah,Kab. Sragen,74.3,0.8,8.9,11.2,0.5,1.8,0.3,1.8,0.4,59018.0,21541738.0,24.500000000000004,75.1
2022,Jawa Tengah,Kab. Grobogan,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,84937.0,31002175.0,39.34,54.71
2022,Jawa Tengah,Kab. Blora,26.0,6.0,15.0,38.0,8.0,2.0,1.5,3.0,0.5,38305.0,13981175.0,67.5,32.0
2022,Jawa Tengah,Kab. Rembang,38.12,1.59,13.38,34.45,0.93,1.88,0.77,1.33,7.55,25213.0,9202600.0,52.74000000000001,39.71
2022,Jawa Tengah,Kab. Kudus,24.71,21.11,15.9,18.29,6.55,4.53,3.02,4.8,1.09,44816.0,16357895.0,53.089999999999996,45.82
2022,Jawa Tengah,Kab. Jepara,53.31,0.96,8.79,23.36,0.69,2.44,0.94,1.16,8.35,41237.0,15051642.0,37.37999999999999,54.27
2022,Jawa Tengah,Kab. Demak,47.0,4.0,15.0,22.0,0.05,0.05,5.0,2.9,4.0,72237.0,26366636.0,44.99999999999999,51.0
2022,Jawa Tengah,Kab. Semarang,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,52992.0,19342153.0,39.34,54.71
2022,Jawa Tengah,Kab. Temanggung,32.9,18.85,5.39,17.44,7.06,2.01,2.0,2.06,12.29,40014.0,14605037.0,35.96,51.75
2022,Jawa Tengah,Kab. Kendal,83.0,6.61,0.72,5.26,0.09,0.8,0.03,0.14,3.35,41001.0,14965292.0,7.039999999999999,89.61
2022,Jawa Tengah,Kab. Batang,28.0,13.0,13.0,16.0,7.0,6.0,3.0,6.0,8.0,56728.0,20705541.0,51.0,41.0
2022,Jawa Tengah,Kab. Pekalongan,7.0,8.2,6.5,10.2,0.8,3.0,2.0,0.2,62.1,39060.0,14256958.0,22.7,15.2
2022,Jawa Tengah,Kab. Pemalang,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,59368.0,21669451.0,39.34,54.71
2022,Jawa Tengah,Kab. Tegal,35.0,11.0,12.0,14.0,7.0,6.0,3.0,7.0,5.0,83963.0,30646623.0,49.0,46.0
2022,Jawa Tengah,Kab. Brebes,5.0,50.0,5.0,25.0,4.0,4.0,1.0,1.0,5.0,100531.0,36693760.0,40.0,55.0
2022,Jawa Tengah,Kota Magelang,33.7,13.3,18.8,21.5,0.8,1.8,0.5,3.7,5.9,8051.0,2938462.0,47.099999999999994,47.0
2022,Jawa Tengah,Kota Surakarta,38.18,5.64,13.64,22.73,3.64,7.27,1.95,2.27,8.9,37629.0,13734545.0,51.50000000000001,43.82
2022,Jawa Tengah,Kota Salatiga,40.5,14.21,24.6,5.54,12.3,6.16,1.95,12.91,20.72,11416.0,4166828.0,63.459999999999994,54.71
2022,Jawa Tengah,Kota Semarang,60.79,14.21,10.18,17.2,1.22,4.94,1.0,1.79,2.88,118106.0,43108522.0,36.33,75.0
2022,Jawa Tengah,Kota Tegal,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,21744.0,7936597.0,39.34,54.71
2022,D.I. Yogyakarta,Kab. Kulon Progo,67.18,14.21,12.6,17.22,1.68,0.21,1.95,1.11,7.12,17734.0,6473071.0,34.77,81.39000000000001
2022,D.I. Yogyakarta,Kab. Gunungkidul,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,37773.0,13787189.0,39.34,54.71
2022,D.I. Yogyakarta,Kota Yogyakarta,46.45,0.25,17.4,31.05,0.55,1.05,0.6,1.05,1.6,30313.0,11064260.0,51.699999999999996,46.7
2022,Jawa Timur,Kab. Pacitan,34.0,4.5,8.3,35.0,5.0,8.0,3.0,2.0,0.2,28767.0,10499996.0,61.3,38.5
2022,Jawa Timur,Kab. Ponorogo,44.76,0.36,16.53,21.89,0.48,6.62,1.43,0.6,7.33,38234.0,13955264.0,47.55,45.12
2022,Jawa Timur,Kab. Trenggalek,67.48,3.55,10.77,11.62,1.0,1.05,1.14,1.6,1.79,30548.0,11149874.0,27.180000000000003,71.03
2022,Jawa Timur,Kab. Tulungagung,46.0,15.6,7.5,12.5,5.0,4.8,2.0,2.0,4.6,55383.0,20214886.0,33.8,61.6
2022,Jawa Timur,Kab. Kediri,46.4,22.47,4.28,11.31,0.2,2.02,0.63,4.75,7.94,65776.0,24008240.0,23.189999999999998,68.87
2022,Jawa Timur,Kab. Malang,60.64,6.51,13.2,15.26,0.27,1.12,0.4,0.67,1.93,96059.0,35061409.0,30.92,67.15
2022,Jawa Timur,Kab. Lumajang,40.25,17.35,10.65,17.8,1.15,3.25,1.45,1.5,6.6,52451.0,19144612.0,35.800000000000004,57.6
2022,Jawa Timur,Kab. Jember,50.0,5.0,5.0,30.0,1.0,2.58,5.0,1.0,3.0,101469.0,37036243.0,44.58,55.0
2022,Jawa Timur,Kab. Banyuwangi,40.5,14.21,11.75,17.59,3.2,2.58,1.95,2.27,7.12,81391.0,29707845.0,39.34,54.71
2022,Jawa Timur,Kab. Situbondo,44.4,13.8,16.2,24.0,0.2,0.6,0.2,0.2,0.4,25724.0,9389173.0,41.40000000000001,58.2
2022,Jawa Timur,Kab. Mojokerto,47.88,1.91,19.54,21.07,0.53,0.47,0.17,0.24,8.19,46116.0,16832261.0,42.02,49.79
2022,Jawa Timur,Kab. Jombang,48.85,7.27,7.93,12.5,1.24,2.71,1.33,1.24,16.93,53037.0,19358344.0,26.95,56.120000000000005
2022,Jawa Timur,Kab. Nganjuk,61.5,2.0,13.1,12.3,6.0,1.0,1.0,1.0,2.1,44413.0,16210774.0,34.4,63.5
